,week52change,week52high,week52low,marketcap,employees,day200MovingAvg,day50MovingAvg,float,avg10Volume,avg30Volume,ttmEPS,ttmDividendRate,companyName,sharesOutstanding,month1ChangePercent,month3ChangePercent,month6ChangePercent,ytdChangePercent,year1ChangePercent,day5ChangePercent,day30ChangePercent,maxChangePercent,year5ChangePercent,year2ChangePercent,nextDividendDate,dividendYield,nextEarningsDate,exDividendDate,peRatio,beta,symbol,week52highDate,week52lowDate,totalCash,currentDebt,revenue,grossProfit,totalRevenue,EBITDA,revenuePerShare,revenuePerEmployee,debtToEquity,profitMargin,enterpriseValue,enterpriseValueToRevenue,priceToSales,priceToBook,forwardPERatio,pegRatio,peHigh,peLow,putCallRatio
0,3.1284400000000003,4.73,0.9,232715250.0,1638.0,2.25,3.44,29647613.0,280618.0,206720.33,0.0081,,"Tile Shop Holdings, Inc.",51714500.0,0.25,0.750973,3.205607,3.1284400000000003,3.1284400000000003,0.145038,0.451613,0.1835,0.1835,0.1835,,,2021-02-23,2019-07-26,555.56,-0.07032221588192905,TTSH,2020-11-19,2020-05-19,9919000.0,27155000.0,340351000.0,202573000.0,340351000.0,32789000.0,6.58,207784.49,1.7,-0.013112933412859077,444676250.0,1.31,0.68,1.7778229780212225,90.0,2.38,3.408324197993992e+17,6.4851834634135144e+16,
1,-0.22560400000000005,0.4066,0.1205,71095561.0,89000.0,0.1895,0.192,378608931.0,221569.9,174056.83,-15.6356,,Sears Holdings Corp.,410957000.0,-0.089474,-0.40344800000000003,0.074534,-0.108247,-0.225604,-0.011429,-0.065875,-0.9852,-0.9941,-0.9248,,,,,-0.01,0.4294898308732606,SHLDQ,2020-01-28,2020-04-08,336000000.0,1883000000.0,16702000000.0,3462000000.0,16702000000.0,-1142000000.0,40.64,187662.92,-1.18,-0.022931385462818824,4112862690.0,0.25,0.0,-0.01909630969648133,-0.05,,-0.5183780941277306,-0.028632436246044324,
2,-0.351852,0.25,0.175,256278750.0,1162.0,0.2221,0.2185,367111255.0,,70.0,-0.017,,Lifestyle China Group Ltd.,1464450000.0,0.0,0.0,0.0,-0.3,-0.351852,0.0,-0.3,0.1905,0.1905,-0.4792,,,,,-10.29,-0.972922647672432,LSTYF,2020-03-04,2020-10-23,296691646.0,18444521.0,174252146.0,85543768.0,174252146.0,64617420.0,0.12,149958.82,0.33,-0.06936216441202395,383423675.0,2.2,1.43,0.1988204703172212,,,,,
3,-0.039171,23.7,8.9,5484072501.0,,14.01,17.34,223211483.0,150.0,106.0,-1.2089,0.38425399975217794,"Ryohin Keikaku Co., Ltd.",263025060.0,-0.027972000000000004,0.622568,0.57003,-0.09347799999999999,-0.039171,0.0,0.441909,1.9938,0.6407,-0.5887,,0.018429448429361055,,2020-08-28,-17.25,0.3489695984080297,RYKKF,2020-01-09,2020-03-20,870460653.0,114055354.0,3322394819.0,1358205196.0,3322394819.0,218409980.0,12.63,,0.61,-0.0943018641879239,5647220222.0,1.7,1.65,3.211486568800832,,,,,
4,-0.488636,0.28800000000000003,0.016,1042875.0,,0.1001,0.0638,9453697.0,200.1,1657.6,-0.3595,,Bankers Cobalt Corp.,11587500.0,3.285714,-0.051633000000000005,-0.307692,-0.1,-0.48863599999999996,0.0,0.276596,-0.8085,-0.8302,-0.8975,,,,,-0.25,0.22183472394452627,NDEND,2019-08-12,2020-05-14,3991.0,114000.0,,,,-1578700.0,,,-0.04,,1152884.0,,,-0.3782110540079763,,,,,
5,0.05670600000000001,12.45,8.6,6506191475.0,,10.05,10.53,,41695.5,43959.93,-0.0059,0.5337,J Sainsbury Plc,554190075.0,0.09107799999999999,0.195519,0.313199,-0.038493,0.05670599999999999,0.015571000000000002,0.12237100000000001,-0.4853,-0.4067,-0.3917,,0.04545996592844974,,2020-11-20,-1989.83,0.4205223542137098,JSAIY,2020-11-19,2020-03-17,1374374800.0,841740700.0,37015909623.0,2801121157.0,37015909623.0,2917302570.0,66.79,,0.99,0.0044493498519259655,14608105374.63,0.39,0.18,0.6769045357563569,11.18,,,,
6,-0.06666699999999999,6.04,2.06,63112000.0,,4.22,3.87,5864761.0,10247.5,4596.53,0.6013,0.46,"bebe stores, inc.",11270000.0,0.75,0.473684,0.333333,-0.06666699999999999,-0.06666699999999999,0.122244,0.555556,-0.8963,-0.8302,-0.4504,2020-11-23,0.08214285714285716,,2020-08-25,9.31,0.5436485572724821,BEBE,2019-12-12,2020-10-21,8275000.0,,,,,-1288000.0,,,0.0,,54836999.99999999,,,2.300670749489647,,,,,
7,-0.02129,18.32,16.09,10125324370.0,115428.0,16.86,16.15,243708817.0,,200.0,0.6101,0.207,Jerónimo Martins SGPS SA,629293000.0,0.0,-0.036635,-0.055402,-0.021399,-0.021399,0.0,0.0,1.1918,0.0315,0.0778,,0.012865133623368552,,2020-07-13,26.37,-0.011910043260453656,JRONF,2020-02-26,2020-09-22,1043151598.0,907726463.0,20860802191.0,4562687551.0,20860802191.0,1605340550.0,33.15,180725.67,1.58,0.02091755542307275,12580693217.0,0.6,0.49,4.567333789598594,,,,,
8,0.001429,7.1,6.8,396741465.0,4.0,6.96,6.95,20196518.0,,6.67,-0.0132,,Rito Group Corp.,56596500.0,0.008633,0.008633,0.008633,-0.005674,0.001429,0.0,0.015941999999999998,2.6316,2.6316,1.0597,,,,,-531.06,-0.0042897362705655185,RTTO,2020-01-21,2020-02-03,64528.0,63994.0,438845.0,157211.0,438845.0,-707000.0,0.01,109711.25,3.01,-1.7038384851143342,396955977.0,904.55,904.06,4273.2052151996895,,,,,
9,-0.225,0.035,0.02,144542770.0,,0.0304,0.0306,2419151727.0,,6000.0,-0.0132,,Hengdeli Holdings Ltd.,4662670000.0,0.0,0.033333,-0.11428599999999998,-0.11428599999999998,-0.225,0.0,0.033333,-0.868,-0.85,-0.1429,,,,2019-08-30,-2.35,0.2201721527907574,HENGF,2019-12-03,2020-02-13,245960061.0,37854056.0,349816475.0,56441129.0,349816475.0,14843440.0,0.08,,0.11,-0.13756520472627826,-47183368.0,-0.13,0.4,0.25852146448776725,,,,,
10,0.519259,23.1,5.13,23140395809.0,14337.0,18.47,20.67,,16366.5,18267.83,0.6948,,"Nitori Holdings Co., Ltd.",1128249430.0,-0.02519,-0.032547,0.295641,0.519259,0.519259,-0.012518000000000001,0.000976,0.3259,0.3259,0.3259,,,,,29.52,-0.0692456551482723,NCLTY,2020-07-31,2020-03-18,1475826264.0,40244750.0,5891881732.0,3117049295.0,5891881732.0,1137869910.0,5.22,410956.39,0.03,0.1111598962421264,21804142159.300003,3.7,3.93,4.4503696883770925,,,,,
11,0.540775,71.47,12.5,6036151066.0,,45.35,63.09,,1620.7,1668.1,1.7092,,ASOS Plc,99837100.0,-0.064087,-0.058549000000000004,0.7845340000000001,0.378791,0.540775,0.024746,-0.127183,3.2089999999999996,-0.3233,-0.4956,,,,,35.37,0.8606961468747164,ASOMY,2020-10-05,2020-03-17,545622125.0,29858585.0,4141967726.0,1814926872.0,4141967726.0,352958860.0,41.49,,0.39,0.0347173279736946,5909754186.0,1.43,1.46,5.563523179155752,,,,,
12,,,,3069348142.0,6569.0,,,72938080.0,,,2.0719,0.650920318459035,"Matsumotokiyoshi Holdings Co., Ltd.",102653784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03-30,0.021769910316355685,,2020-09-29,14.43,,MSMKF,,,262776157.0,18563290.0,5431950383.0,1665069802.0,5431950383.0,422687270.0,52.92,826906.74,0.11,0.04432155469487837,3030554199.6,0.56,0.57,1.4450313936750114,,,,,
13,,0.05,0.0031,178431.0,4.0,0.0115,0.0075,,722.2,3711.1,-0.1277,,"Vestiage, Inc.",57558235.0,-0.69,-0.761538,-0.741667,-0.6125,0.0,0.0,-0.69,-0.988,-0.6875,0.3333,,,,,-0.02,-0.017770128307577383,VEST,2020-06-08,2019-12-06,40393.0,,875452.0,431819.0,875452.0,-6168600.0,0.02,218863.0,2.38,-7.949670570174036,971807.5285,1.11,0.2,0.5082955030381413,,,,,
14,,,,,8713.0,,,439907.0,,,1.4755,,"Village Super Market, Inc.",4294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2019-12-31,,,VLGEB,,,111681000.0,26311000.0,1804594000.0,475117000.0,1804594000.0,61642000.0,420.26,207115.12,1.27,0.013421301411841113,,,,,,,,,
15,0.666667,3.5,2.1,4354945000.0,4746.0,2.93,3.49,538286133.0,,1600.0,0.0753,0.0489713092150046,China MeiDong Auto Holdings Ltd.,1244270000.0,0.0,0.186441,0.666667,0.666667,0.666667,0.0,0.0,0.0,0.0,0.0,,0.013991802632858458,,2020-09-08,46.48,-0.003799725522704177,CMEIF,2020-09-15,2020-05-22,299412981.0,311204330.0,2345927638.0,225421529.0,2345927638.0,125231000.0,1.89,494295.75,1.83,0.03397966403940717,4505512064.0,1.92,1.86,17.723458054835316,,,,,
16,-0.201976,9.79,5.53,28034864800.0,30000.0,6.81,6.3,,646283.3,468828.97,1.1468,0.330405,CK Hutchison Holdings Ltd.,3856240000.0,0.230118,0.111621,0.085075,-0.241127,-0.201976,0.022504,0.197694,0.0355,-0.7314,-0.3966,,0.045447730398899586,,2020-09-03,6.34,0.5869023232953227,CKHUY,2020-01-14,2020-03-19,17598886008.0,7453220052.0,38163808704.0,9340670066.0,38163808704.0,11529638340.0,9.9,1272126.96,0.97,0.13320134705179976,68366880509.0,1.79,0.73,0.4704913136259736,7.57,,,,
17,,0.001,0.0001,624779.0,4.0,0.0001,0.0001,6663879888.0,1255522.1,1184643.63,-0.0074,,FutureLand Corp.,6716260000.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,,,,,,,FUTL,2020-10-29,2019-12-02,29.0,378504.0,,,,-295260.0,,0.0,2.24,,,,,3.9724964363662183,,,,,
18,,,,,,,,,,,,,Clicks Group Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2019-06-27,,,CCKRF,,,,,,,,,,,,,,,,,,,,,
19,,0.0001,0.0001,,,0.0001,0.0001,,1.0,1.17,,,"Auction Mills, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,AUNM,2019-12-17,2019-12-17,,,,,,,,,,,,,,,,,,,
20,-0.057803000000000014,3.8,2.6,13173113314.0,321383.0,3.18,3.27,,133034.4,190626.43,0.4407,0.0517,Carrefour SA,4040832305.0,-0.018072,0.034921,0.181159,-0.015106,-0.057803,-0.038348,-0.015106,-0.5699,-0.5179,-0.05,,0.015858895705521476,,2020-06-08,7.4,0.7263091366199669,CRRFY,2020-03-04,2020-05-20,5105130000.0,6309572500.0,82983331889.0,15662765321.0,82983331889.0,4943721190.0,20.54,258206.97,1.75,0.0152275363526046,27600605814.3,0.33,0.16,1.18063510813657,11.24,,,,
21,,,,1964536000.0,2.0,,,5720013.0,,,-0.0035,,"J.E.M. Capital, Inc.",14032400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,,,,,-40000.0,,JEMC,,,,73431.0,,-125.0,,-33800.0,,0.0,-0.61,,1964609431.0,,,-16309.158530915854,,,,,
22,-0.15,0.0218,0.0001,372980.0,25000.0,0.0019,0.0025,,37074.4,29785.2,-1.28,,"BB Liquidating, Inc.",219400000.0,16.0,-0.15,7.5,-0.190476,-0.15,-0.824742,1.4285709999999998,,,,,,,,0.0,21.141497864555546,BLIBQ,2020-01-09,2020-01-15,,,,,,,,,,,,,,,,,,,
23,-0.117647,1.07,0.86,167856120.0,,0.9258,0.8978,,1660.0,553.33,-0.3311,,Hengdeli Holdings Ltd.,186506800.0,0.0,-0.010989,0.046512,-0.134615,-0.117647,-0.010989,-0.010989,-0.8966,-0.8571,-0.3281,,,,2019-08-29,-2.72,0.02488594238224068,HENGY,2020-01-06,2020-03-19,245960976.0,37854197.0,349817536.0,56441300.0,349817536.0,14843480.0,1.88,,0.11,-0.13756520485010792,-19208044.0,-0.05,0.48,0.30021735802739763,,,,,
24,-0.989088,10.24,0.02,33558.0,,1.0998,0.2831,,5900.6,13735.67,-0.0003,,"Eco Depot, Inc.",304798.0,-0.8899,-0.7798,-0.8885059999999999,-0.8885059999999999,-0.989086,1.430464,-0.7798,-0.9999,-0.9989,-0.986,,,,,-119.0,-0.6021818456563984,ECDPD,2019-07-10,2020-06-09,908.0,131000.0,,,,-40040.0,,,-1.15,,163650.2598,,,-0.29551647440074674,,,,,
